Funding Agencies	records	% of 478
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA	23	4.812
EUROPEAN SOCIAL FUND	9	1.883
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES	6	1.255
MENDEL UNIVERSITY IN BRNO	5	1.046
NATIONAL INSTITUTES OF HEALTH	5	1.046
NATURAL SCIENCE FOUNDATION OF CHINA	5	1.046
NIA NIH HHS	4	0.837
STATE BUDGET OF THE CZECH REPUBLIC	4	0.837
CHICAGO COMMUNITY TRUST	3	0.628
CHINA POSTDOCTORAL SCIENCE FOUNDATION	3	0.628
CZECH REPUBLIC	3	0.628
GEORGE KAISER FAMILY FOUNDATION	3	0.628
NORWEGIAN FINANCIAL MECHANISM	3	0.628
OTHO S A SPRAGUE MEMORIAL INSTITUTE	3	0.628
PROJECT INDICATORS OF TREE VITALITY	3	0.628
SWEDISH RESEARCH COUNCIL FORMAS	3	0.628
UNIVERSITY OF CHICAGO	3	0.628
ACADEMY OF FINLAND	2	0.418
AHRQ HHS	2	0.418
AUAS PROGRAM URBAN VITALITY	2	0.418
BAVARIAN STATE MINISTRY OF THE ENVIRONMENT AND CONSUMER PROTECTION	2	0.418
CHINA SCHOLARSHIP COUNCIL	2	0.418
CNPQ	2	0.418
DOD PROSTATE CANCER RESEARCH PROGRAM	2	0.418
EEA FINANCIAL MECHANISM	2	0.418
ENVIRONMENTAL DESIGN INC	2	0.418
EUROPEAN COMMUNITY	2	0.418
FCT	2	0.418
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE	2	0.418
JSPS KAKENHI	2	0.418
MINISTERIO DE ECONOMIA Y COMPETITIVIDAD GOBIERNO DE ESPANA	2	0.418
MINISTERIO DE EDUCACION CULTURA Y DEPORTE GOBIERNO DE ESPANA	2	0.418
MINISTRY OF EDUCATION YOUTH AND SPORTS OF THE CZECH REPUBLIC	2	0.418
NATIONAL INSTITUTE ON AGING AT THE NATIONAL INSTITUTES OF HEALTH	2	0.418
NATIONAL INSTITUTES OF HEALTH NIH	2	0.418
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA	2	0.418
NATIONAL SCIENCE FOUNDATION OF CHINA	2	0.418
NATURAL SCIENCE FOUNDATION OF GUANGDONG PROVINCE CHINA	2	0.418
NCI NIH HHS	2	0.418
NICHD NIH HHS	2	0.418
NIH NATIONAL INSTITUTE ON AGING	2	0.418
PROJECT INDICATORS OF TREE VITALITY EUROPEAN SOCIAL FUND	2	0.418
SCHWEIZERISCHER NATIONALFONDS ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG	2	0.418
STRATEGIC RESEARCH FUND POSTGRADUATE SCHOLARSHIP UNIVERSITY COLLEGE CORK IRELAND	2	0.418
TREE FUND	2	0.418
UNIVERSITY OF AUCKLAND	2	0.418
UNIVERSITY OF CHICAGO MEDICAL CENTER DIVISION OF THE BIOLOGICAL SCIENCES	2	0.418
UNIVERSITY OF OTAGO	2	0.418
URBAN HEALTH INITIATIVE OF THE UNIVERSITY OF CHICAGO MEDICAL CENTER	2	0.418
111 PROJECT	1	0.209
2015 2016 BIODIVERSA COFUND	1	0.209
AALTO UNIVERSITY	1	0.209
ACADEMY OF FINLAND FINLAND	1	0.209
ACADEMY OF FINLAND UNDER THE JAPAN FINLAND BILATERAL CORE PROGRAM	1	0.209
ACCADEMIA DEL XL	1	0.209
ADMINISTRATION OF REGIONALIZATION IN THE MINISTRY OF CIVIL AFFAIRS OF CHINA	1	0.209
AGENCE NATIONALE DE LA RECHERCHE	1	0.209
AGENCE NATIONALE DE LA RECHERCHE ANR	1	0.209
ALASKA NATIVE AND NATIVE HAWAIIAN ELDERS	1	0.209
ALASKA NATIVE SCIENCE AND RESEARCH PARTNERSHIPS FOR HEALTH	1	0.209
ALEXANDER VON HUMBOLDT FELLOWSHIP AT THE TECHNICAL UNIVERSITY OF MUNICH GERMANY	1	0.209
ALZHEIMER S RESEARCH UK	1	0.209
AMERICAN GYNECOLOGICAL AND OBSTETRICAL SOCIETY	1	0.209
AMERICAN HEART ASSOCIATION	1	0.209
AMERICAN INSTITUTE OF INDIAN STUDIES	1	0.209
APPLICATION RESEARCH OF THE REMOTE SENSING TECHNOLOGY ON GLOBAL ENERGY INTERNET	1	0.209
ARBEITSGRUPPE INNOVATIVE PROJEKTE AGIP OF THE MINISTRY OF RESEARCH AND CULTURE LOWER SAXONY GERMANY	1	0.209
ARBORICULTURE AUSTRALIA	1	0.209
ARC DISCOVERY PROJECTS	1	0.209
ARTS AND HUMANITIES RESEARCH COUNCIL AHRC	1	0.209
ATLANTIC PHILANTHROPIES	1	0.209
AUCKLAND TRANSPORT	1	0.209
AUDI ENVIRONMENTAL FOUNDATION	1	0.209
AUSTRALIAN NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL NHMRC	1	0.209
AUSTRALIAN RESEARCH COUNCIL	1	0.209
AUSTRIAN SCIENCE FUND FWF	1	0.209
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE AND ICT	1	0.209
BEATRIX FARRAND FUND	1	0.209
BEIJING ADVANCED INNOVATION CENTER FOR FUTURE URBAN DESIGN UDC	1	0.209
BEIJING MUNICIPAL NATURAL SCIENCE FOUNDATION	1	0.209
BEIJING MUNICIPAL PROJECT FOR DEVELOPING ADVANCED HUMAN RESOURCES FOR HIGHER EDUCATION	1	0.209
BEIJING NATURAL SCIENCE FOUNDATION OF CHINA	1	0.209
BELGIAN SCIENCE POLICY BELSPO	1	0.209
BEYONDBLUE VICTORIAN CENTRE OF EXCELLENCE BBVCOE IN DEPRESSION AND RELATED DISORDERS	1	0.209
BK21 PLUS PROJECT SEOUL NATIONAL UNIVERSITY INTERDISCIPLINARY PROGRAM IN LANDSCAPE ARCHITECTURE GLOBAL LEADERSHIP PROGRAM TOWARDS INNOVATIVE GREEN INFRASTRUCTURE	1	0.209
BMBF DLR	1	0.209
BRIGHTON AND SUSSEX MEDICAL SCHOOL	1	0.209
BUREAU OF SCIENCE AND INFORMATION TECHNOLOGY OF GUANGZHOU MUNICIPAL GOVERNMENT	1	0.209
CALIFORNIA DEPARTMENT OF TRANSPORTATION	1	0.209
CAMPUS DE EXCELENCIA INTERNACIONAL EN PATRIMONIO OF UNIVERSITY OF JAEN	1	0.209
CANADIAN INSTITUTES OF HEALTH RESEARCH	1	0.209
CAPES	1	0.209
CAPITAL MEDICAL UNIVERSITY	1	0.209
CAS GRANT	1	0.209
CAS PROGRAMME FOREIGN VISITING SCHOLAR OF THE CAS	1	0.209
CATALAN GOVERNMENT AGAUR FI DGR	1	0.209
CENTENNIAL COLLEGE	1	0.209
CENTER FOR TRANSPORTATION AND URBAN PLANNING AT THE UNIVERSITY OF CONNECTICUT	1	0.209
CENTERS FOR DISEASE CONTROL AND PREVENTION CDC	1	0.209
CENTERS FOR MEDICARE AND MEDICAID SERVICES CMS DEPARTMENT OF HEALTH AND HUMAN SERVICES	1	0.209
CENTERS FOR MEDICARE AND MEDICAID SERVICES HEALTH CARE INNOVATION AWARD	1	0.209
CENTRE OF SUSTAINABLE URBAN DEVELOPMENT CEDEUS	1	0.209
CHAIR OF DEPARTMENT OF FORESTRY AND FOREST ECOLOGY AT THE UNIVERSITY OF WARMIA AND MAZURY IN OLSZTYN	1	0.209
