Web of Science Categories	records	% of 478
URBAN STUDIES	116	24.268
ENVIRONMENTAL STUDIES	99	20.711
ENVIRONMENTAL SCIENCES	66	13.808
REGIONAL URBAN PLANNING	54	11.297
GEOGRAPHY	49	10.251
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	40	8.368
FORESTRY	35	7.322
ECOLOGY	26	5.439
GREEN SUSTAINABLE SCIENCE TECHNOLOGY	25	5.230
PLANT SCIENCES	24	5.021
ENGINEERING CIVIL	15	3.138
MEDICINE GENERAL INTERNAL	15	3.138
GEOGRAPHY PHYSICAL	14	2.929
HEALTH CARE SCIENCES SERVICES	14	2.929
ARCHITECTURE	13	2.720
ECONOMICS	13	2.720
SOCIOLOGY	13	2.720
TRANSPORTATION	13	2.720
DEVELOPMENT STUDIES	11	2.301
ENGINEERING ENVIRONMENTAL	11	2.301
HEALTH POLICY SERVICES	11	2.301
HISTORY	10	2.092
TRANSPORTATION SCIENCE TECHNOLOGY	10	2.092
CONSTRUCTION BUILDING TECHNOLOGY	9	1.883
BIODIVERSITY CONSERVATION	8	1.674
HISTORY OF SOCIAL SCIENCES	8	1.674
PSYCHOLOGY MULTIDISCIPLINARY	8	1.674
GERIATRICS GERONTOLOGY	7	1.464
MULTIDISCIPLINARY SCIENCES	7	1.464
SOCIAL SCIENCES INTERDISCIPLINARY	7	1.464
ANTHROPOLOGY	6	1.255
AREA STUDIES	6	1.255
DEMOGRAPHY	6	1.255
LINGUISTICS	6	1.255
REMOTE SENSING	6	1.255
TOXICOLOGY	6	1.255
WATER RESOURCES	6	1.255
ENERGY FUELS	5	1.046
LANGUAGE LINGUISTICS	5	1.046
PUBLIC ADMINISTRATION	5	1.046
AGRICULTURE MULTIDISCIPLINARY	4	0.837
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS	4	0.837
CULTURAL STUDIES	4	0.837
EDUCATION EDUCATIONAL RESEARCH	4	0.837
ENGINEERING ELECTRICAL ELECTRONIC	4	0.837
GERONTOLOGY	4	0.837
HORTICULTURE	4	0.837
ONCOLOGY	4	0.837
POLITICAL SCIENCE	4	0.837
SOCIAL ISSUES	4	0.837
SOCIAL SCIENCES BIOMEDICAL	4	0.837
SOCIAL WORK	4	0.837
CLINICAL NEUROLOGY	3	0.628
MARINE FRESHWATER BIOLOGY	3	0.628
MICROBIOLOGY	3	0.628
NEUROSCIENCES	3	0.628
OPERATIONS RESEARCH MANAGEMENT SCIENCE	3	0.628
ARCHAEOLOGY	2	0.418
BIOCHEMISTRY MOLECULAR BIOLOGY	2	0.418
BIOLOGY	2	0.418
BIOTECHNOLOGY APPLIED MICROBIOLOGY	2	0.418
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE	2	0.418
COMPUTER SCIENCE INFORMATION SYSTEMS	2	0.418
COMPUTER SCIENCE SOFTWARE ENGINEERING	2	0.418
COMPUTER SCIENCE THEORY METHODS	2	0.418
EDUCATION SCIENTIFIC DISCIPLINES	2	0.418
ENTOMOLOGY	2	0.418
LAW	2	0.418
METEOROLOGY ATMOSPHERIC SCIENCES	2	0.418
OBSTETRICS GYNECOLOGY	2	0.418
ORTHOPEDICS	2	0.418
PEDIATRICS	2	0.418
PHARMACOLOGY PHARMACY	2	0.418
PSYCHOLOGY	2	0.418
PSYCHOLOGY CLINICAL	2	0.418
UROLOGY NEPHROLOGY	2	0.418
ACOUSTICS	1	0.209
AGRONOMY	1	0.209
ALLERGY	1	0.209
ANESTHESIOLOGY	1	0.209
BEHAVIORAL SCIENCES	1	0.209
BIOPHYSICS	1	0.209
CELL BIOLOGY	1	0.209
CHEMISTRY ANALYTICAL	1	0.209
COMMUNICATION	1	0.209
CRITICAL CARE MEDICINE	1	0.209
DENTISTRY ORAL SURGERY MEDICINE	1	0.209
EMERGENCY MEDICINE	1	0.209
ENGINEERING MULTIDISCIPLINARY	1	0.209
ETHICS	1	0.209
EVOLUTIONARY BIOLOGY	1	0.209
FOOD SCIENCE TECHNOLOGY	1	0.209
GENETICS HEREDITY	1	0.209
GEOSCIENCES MULTIDISCIPLINARY	1	0.209
HISTORY PHILOSOPHY OF SCIENCE	1	0.209
HOSPITALITY LEISURE SPORT TOURISM	1	0.209
HUMANITIES MULTIDISCIPLINARY	1	0.209
IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	1	0.209
IMMUNOLOGY	1	0.209
INTEGRATIVE COMPLEMENTARY MEDICINE	1	0.209
MANAGEMENT	1	0.209
MATERIALS SCIENCE BIOMATERIALS	1	0.209
MATERIALS SCIENCE PAPER WOOD	1	0.209
MEDICAL ETHICS	1	0.209
MEDICAL INFORMATICS	1	0.209
NURSING	1	0.209
NUTRITION DIETETICS	1	0.209
PARASITOLOGY	1	0.209
PHYSICS CONDENSED MATTER	1	0.209
PHYSICS MULTIDISCIPLINARY	1	0.209
PLANNING DEVELOPMENT	1	0.209
PSYCHIATRY	1	0.209
REPRODUCTIVE BIOLOGY	1	0.209
SOIL SCIENCE	1	0.209
SPORT SCIENCES	1	0.209
SURGERY	1	0.209
TELECOMMUNICATIONS	1	0.209
VETERINARY SCIENCES	1	0.209
WOMEN S STUDIES	1	0.209
(0 records (0.000%) do not contain data in the field being analyzed.)
