Organizations	records	% of 478
CHINESE ACAD SCI	13	2.720
MENDEL UNIV BRNO	13	2.720
UNIV SIENA	9	1.883
WUHAN UNIV	9	1.883
PEKING UNIV	8	1.674
SWEDISH UNIV AGR SCI	8	1.674
UNIV CHICAGO	8	1.674
UNIV N CAROLINA	8	1.674
HARVARD UNIV	7	1.464
NANJING UNIV	6	1.255
UNIV AMSTERDAM	6	1.255
UNIV AUCKLAND	6	1.255
UNIV ILLINOIS	6	1.255
UNIV MELBOURNE	6	1.255
UNIV NAPLES FEDERICO II	6	1.255
VRIJE UNIV AMSTERDAM	6	1.255
COLEGIO POSTGRAD	5	1.046
DELFT UNIV TECHNOL	5	1.046
TONGJI UNIV	5	1.046
UNIV BELGRADE	5	1.046
UNIV TAMPERE	5	1.046
ZHEJIANG UNIV	5	1.046
HANYANG UNIV	4	0.837
HUAZHONG UNIV SCI TECHNOL	4	0.837
MICHIGAN STATE UNIV	4	0.837
SIBERIAN FED UNIV	4	0.837
TECH UNIV MUNICH	4	0.837
UCL	4	0.837
UNIV AUTONOMA BARCELONA	4	0.837
UNIV CALIF BERKELEY	4	0.837
UNIV CALIF LOS ANGELES	4	0.837
UNIV LISBON	4	0.837
UNIV MICHIGAN	4	0.837
UNIV SHEFFIELD	4	0.837
UNIV WASHINGTON	4	0.837
AMSTERDAM UNIV APPL SCI	3	0.628
BOSTON UNIV	3	0.628
CLEVELAND STATE UNIV	3	0.628
COLUMBIA UNIV	3	0.628
DUKE UNIV	3	0.628
HARBIN INST TECHNOL	3	0.628
NATL UNIV SINGAPORE	3	0.628
OHIO STATE UNIV	3	0.628
SEOUL NATL UNIV	3	0.628
SLOVAK ACAD SCI	3	0.628
SOUTHEAST UNIV	3	0.628
TECHNION ISRAEL INST TECHNOL	3	0.628
TEXAS A M UNIV	3	0.628
TSINGHUA UNIV	3	0.628
UNIV CAMBRIDGE	3	0.628
UNIV CONNECTICUT	3	0.628
UNIV GENOA	3	0.628
UNIV GEORGIA	3	0.628
UNIV HONG KONG	3	0.628
UNIV IOWA	3	0.628
UNIV PENN	3	0.628
UNIV READING	3	0.628
UNIV TOKYO	3	0.628
UNIV VIENNA	3	0.628
UNIV WARMIA MAZURY	3	0.628
UPPSALA UNIV	3	0.628
WAYNE STATE UNIV	3	0.628
XIAMEN UNIV	3	0.628
ARIZONA STATE UNIV	2	0.418
AUSTRALIAN NATL UNIV	2	0.418
BEIJING KEY LAB URBAN SPATIAL INFORMAT ENGN	2	0.418
BEIJING NORMAL UNIV	2	0.418
BRIGHAM WOMENS HOSP	2	0.418
CARDIFF UNIV	2	0.418
CLARK UNIV	2	0.418
COOK CTY HOSP	2	0.418
DEAKIN UNIV	2	0.418
EHESS	2	0.418
ENTERPRISE CTR	2	0.418
FAC SOCIAL SCI	2	0.418
FINNISH FOREST RES INST METLA	2	0.418
FORESTRY FOREST PROD RES INST	2	0.418
FORESTRY FOREST PROD RES INST JAPAN	2	0.418
GEORGIA STATE UNIV	2	0.418
GUANGZHOU MED UNIV	2	0.418
HEBREW UNIV JERUSALEM	2	0.418
HONG KONG POLYTECH UNIV	2	0.418
HUAZHONG AGR UNIV	2	0.418
KAROLINSKA INST	2	0.418
KAROLINSKA UNIV HOSP	2	0.418
LUND UNIV	2	0.418
MASSEY UNIV	2	0.418
MCGILL UNIV	2	0.418
NATL INST HLTH WELF	2	0.418
NEW SCH	2	0.418
NEWCASTLE UNIV	2	0.418
NORWEGIAN INST BIOECON RES	2	0.418
NYU	2	0.418
NZ CTR SUSTAINABLE CITIES	2	0.418
POLISH ACAD SCI	2	0.418
PORTLAND STATE UNIV	2	0.418
RMIT UNIV	2	0.418
RUSSIAN ACAD SCI	2	0.418
RUTGERS STATE UNIV	2	0.418
SOOCHOW UNIV	2	0.418
STAFFORDSHIRE UNIV	2	0.418
STANFORD UNIV	2	0.418
STRASBOURG UNIV	2	0.418
SUN YAT SEN UNIV	2	0.418
TIANJIN URBAN PLANNING DESIGN INST	2	0.418
TRINITY COLL DUBLIN	2	0.418
TUFTS UNIV	2	0.418
UFZ HELMHOLTZ CTR ENVIRONM RES	2	0.418
UNIV ALABAMA	2	0.418
UNIV CALIF DAVIS	2	0.418
UNIV CALIF SAN DIEGO	2	0.418
UNIV CHILE	2	0.418
UNIV CHINESE ACAD SCI	2	0.418
UNIV CINCINNATI	2	0.418
UNIV COLL CORK	2	0.418
UNIV EDINBURGH	2	0.418
UNIV EXETER	2	0.418
UNIV FED RIO GRANDE DO SUL	2	0.418
UNIV FEEVALE	2	0.418
UNIV GENEVA	2	0.418
UNIV GRONINGEN	2	0.418
UNIV HOSP	2	0.418
UNIV KANSAS	2	0.418
UNIV MAINE	2	0.418
UNIV MANCHESTER	2	0.418
UNIV MINNESOTA	2	0.418
UNIV NEWCASTLE	2	0.418
UNIV NORTH CAROLINA CHAPEL HILL	2	0.418
UNIV PISA	2	0.418
UNIV PITTSBURGH	2	0.418
UNIV POMPEU FABRA	2	0.418
UNIV PORTO	2	0.418
UNIV SO CALIF	2	0.418
UNIV SOUTHAMPTON	2	0.418
UNIV SYDNEY	2	0.418
UNIV TEHRAN	2	0.418
UNIV TEXAS DALLAS	2	0.418
UNIV TORONTO	2	0.418
UNIV TRIESTE	2	0.418
UNIV WISCONSIN	2	0.418
UNIV WOLLONGONG	2	0.418
VANDERBILT UNIV	2	0.418
VICTORIA UNIV WELLINGTON	2	0.418
VIRGINIA COMMONWEALTH UNIV	2	0.418
4TH MIL TEACHING HOSP	1	0.209
AALTO UNIV	1	0.209
ACAD MED CTR	1	0.209
AD NATURA JOANNA DURIASZ	1	0.209
ADAM MICKIEWICZ UNIV	1	0.209
AEROSP RES INST	1	0.209
AGH UNIV SCI TECHNOL	1	0.209
AGR DEV ADVISORY SERV	1	0.209
AGR UNIV NORWAY	1	0.209
AKAD SJUKHUSET	1	0.209
ALEKSANDRAS STULGINSKIS UNIV	1	0.209
AMER ACAD FAMILY PHYSICIANS	1	0.209
AMSTERDAM MED CTR	1	0.209
AMSTERDAM SCH REAL ESTATE	1	0.209
AN NAJAH NATL UNIV	1	0.209
ANHUI MED UNIV	1	0.209
ANHUI NORMAL UNIV	1	0.209
ANHUI TRANSPORT CONSULTING DESIGN INST CO LTD	1	0.209
ANHUI UNIV SCI TECHNOL	1	0.209
ANKARA UNIV	1	0.209
ANRI	1	0.209
APAT ROMA	1	0.209
ARAI JACKSON ARCHITECTS	1	0.209
ARCELORMITTAL	1	0.209
AUCKLAND TRANSPORT	1	0.209
AUGUSTANA COLL	1	0.209
AUTONOMOUS UNIV BARCELONA	1	0.209
BARCELONA BIOMED RES PK	1	0.209
BARCELONA INST GLOBAL HLTH	1	0.209
BARTLETT CONSULTANCY	1	0.209
BARTLETT TREE RES LABS	1	0.209
BEIJING UNION UNIV	1	0.209
BEN GURION UNIV NEGEV	1	0.209
BERLIN INST TECHNOL	1	0.209
BERUFSFEUERWEHR AACHEN	1	0.209
BOURNEMOUTH UNIV	1	0.209
BOXMOOR TRUST	1	0.209
BRIGHTON SUSSEX MED SCH	1	0.209
BRIGHTON SUSSEX UNIV HOSP NHS TRUST	1	0.209
BROOKINGS INST	1	0.209
CANADIAN NURSES ASSOC	1	0.209
CAPITAL MED UNIV	1	0.209
CAPITAL NORMAL UNIV	1	0.209
CARLETON UNIV	1	0.209
CATHOLIC UNIV PORTUGAL	1	0.209
CEA SACLAY	1	0.209
CERIS	1	0.209
CHANGAN UNIV	1	0.209
CHANGZHOU CITY PLANNING DESIGN INST	1	0.209
CHARLES R DREW UNIV MED SCI	1	0.209
CHARLES UNIV PRAGUE	1	0.209
CHIBA UNIV	1	0.209
CHILDRENS MEM HOSP	1	0.209
CHINA AGR UNIV	1	0.209
CHINESE ACAD MED SCI	1	0.209
CHINESE RES ACAD ENVIRONM SCI	1	0.209
CHINESE UNIV HONG KONG	1	0.209
CHONGQING INST ENVIRONM SCI MONITORING	1	0.209
CHONGQING UNIV	1	0.209
CHUNGBUK UNIV	1	0.209
CHUNGNAM NATL UNIV	1	0.209
CHUO UNIV	1	0.209
CIBER EPIDEMIOL SALUD PUBL	1	0.209
CIBERESP	1	0.209
CITY MELBOURNE	1	0.209
CITY SEATTLE	1	0.209
CITY UNIV HONG KONG	1	0.209
CITY UNIV LONDON	1	0.209
CLEMSON UNIV	1	0.209
COLEGIO MEXIQUENSE	1	0.209
COLLABORAT INNOVAT CTR GEOSPATIAL TECHNOL	1	0.209
COMMUNITY LIAISON 21ST WARD AUBURN GRESHAM	1	0.209
COMMUNITY PARTNER	1	0.209
CSIC	1	0.209
CSIC CTR EDAFOL BIOL APLICADA SEGURA	1	0.209
CSIR NATL BOT RES INST	1	0.209
CTR ESTUDOS GEOG	1	0.209
CTR PAUL STRAUSS	1	0.209
CTR RES ENVIRONM EPIDEMIOL CREAL	1	0.209
CTR RURAL AFFAIRS	1	0.209
CTR STUDY IMMIGRANT INTEGRAT	1	0.209
CURTIN UNIV TECHNOL	1	0.209
CZECH ACAD SCI	1	0.209
DATA ENABLED LIFE SCI ALLIANCE	1	0.209
DAVID SIMMONDS CONSULTANCY	1	0.209
DELAWARE VALLEY REG PLANNING COMMISS	1	0.209
DENVER VET AFFAIRS MED CTR	1	0.209
DEPT HLTH GUANGDONG PROV	1	0.209
DEPT URBAN LAND	1	0.209
DOKUZ EYLUL UNIV	1	0.209
DOWNTOWN SEATTLE ASSOC	1	0.209
DZIAL PRZYRODY MUZEUM KWIDZYNIE	1	0.209
E CAROLINA UNIV	1	0.209
EARS LTD REMOTE SENSING CONSULTANTS	1	0.209
EAST CHINA NORMAL UNIV	1	0.209
EAST STOKE RIVER LAB	1	0.209
EBERHARD KARLS UNIV TUBINGEN	1	0.209
ECOTOX AUSTRIA CO MONITORING ENVIRONM POLLUT	1	0.209
ECOTRUST	1	0.209
EIDG FORSCHUNGSANSTALT WSL	1	0.209
EKOTREK	1	0.209
EMS BRNO	1	0.209
ENERGY INNOVAT	1	0.209
ENVIRONM AGCY	1	0.209
ENVIRONM PROTECT COMMISS HILLSBOROUGH CTY	1	0.209
ESTONIAN UNIV LIFE SCI	1	0.209
FED RESERVE BANK NEW YORK	1	0.209
FIELD MUSEUM	1	0.209
FINNISH FOREST RES INST	1	0.209
FLORIDA DEPT HLTH	1	0.209
FLORIDA INT UNIV	1	0.209
FLORIDA STATE UNIV	1	0.209
FOREST DEPT	1	0.209
FOREST RES MANAGEMENT ORG	1	0.209
FREE UNIV BRUSSELS	1	0.209
FRYSKE AKAD LJOUWERT LEEUWARDEN	1	0.209
FUJIAN AGR FORESTRY UNIV	1	0.209
FUJIAN UNIV TECHNOL	1	0.209
FUNDACAO ZOOBOT RIO GRANDE DO SUL	1	0.209
FUNDACJA DZIKA POLSKA	1	0.209
FUZHOU UNIV	1	0.209
GEISENHEIM UNIV	1	0.209
GEORGE MASON UNIV	1	0.209
GEORGES FRANCOIS LECLERC CTR	1	0.209
GERMAN ARCHAEOL INST	1	0.209
GERTNER INST	1	0.209
GERTNER INST HLTH POLICY RES	1	0.209
GOLDSMITHS	1	0.209
GOLDSMITHS UNIV LONDON	1	0.209
GOVT MED COLL	1	0.209
GREAT LAKES CANC INST	1	0.209
GREENWICH TEACHING PRIMARY CARE TRUST	1	0.209
