index_ID,lan_long,place,author,date
Lund_00001,"55.7046601,13.1910073",' Maja Rehnberg,' Maja Rehnberg, Sep 2017
Lund_00002,"55.7046601,13.1910073",Universidad,N Nacho Laguna, Jul 2016
Lund_00003,"55.7108687,13.181276",[ ecke1011,[ ecke1011,s_ Jan 2017
Lund_00004,"55.7046601,13.1910073",6 JAE SRR,6 JAE SRR, Jul 2012
Lund_00005,"55.7046601,13.1910073",Botanical Garden #L,@ Hans Jirgen Klai, Sep 2018
Lund_00006,"55.7046601,13.1910073",6 FACES TR,6 FACES TR, Jul 2012
Lund_00007,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00008,"55.7046601,13.1910073",%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00009,"55.7018149,13.1947216",Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018
Lund_00010,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00011,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00012,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00013,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00014,"55.7046601,13.1910073",%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00015,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00016,"55.7038692,13.2033632",Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_00017,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
Lund_00018,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00019,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
Lund_00020,"55.7046601,13.1910073",Lund,@ Irena Zhang, Aug 2014
Lund_00021,"55.7046601,13.1910073",[T 3,a Sylvia Beatriz, Dec 2017
Lund_00022,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00023,"55.7042309,13.1895735",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00024,"55.7039327,13.1933625",R Roland Faustlin,R Roland Faustlin,s_ May 2016
Lund_00025,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00026,"55.7046601,13.1910073","%, Juliane Vigan6","%, Juliane Vigan6", Apr 2018
Lund_00027,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00028,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00029,"55.7046601,13.1910073",[T 3,. ling zhang, Sep 2015 |
Lund_00030,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00031,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00032,"55.7046601,13.1910073",Rathaus,@ Hans Jirgen Klai, Sep 2018
Lund_00033,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00034,"55.7046601,13.1910073",e Saadiyah Darus,TR ],
Lund_00035,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00036,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00037,"55.7046601,13.1910073",,, Jul 2016
Lund_00038,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_00039,"55.7046601,13.1910073",@ Arlette Codnich,@ Arlette Codnich, Aug 2013
Lund_00040,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00041,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00042,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
Lund_00043,"55.7042082,13.1894789",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00044,"55.7037184,13.193887",Lunds Kyrkliga Samf,%;; RN LS,s_ Nov 2012
Lund_00045,"55.7046601,13.1910073",. Robert Henger,. Robert Henger, Aug 2018
Lund_00046,"55.7046601,13.1910073",%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00047,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_00048,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00049,"55.7046601,13.1910073",;&g peter kurnavka,;&g peter kurnavka, Oct 2017
Lund_00050,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00051,"55.7046601,13.1910073",@ Carlos Guerrero,@ Carlos Guerrero, Jun 2018
Lund_00052,"55.7046601,13.1910073",% UL ETLIHE,% UL ETLIHE, Mar 2018
Lund_00053,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00054,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos, Nov 2017
Lund_00055,"55.7046601,13.1910073",e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00056,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00057,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00058,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00059,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00060,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00061,"55.7046601,13.1910073",' (&1 EY T,' (&1 EY T, Dec 2016
Lund_00062,"55.7046601,13.1910073",Lund,"lfg, Ralil Menéndez", Sep 2008
Lund_00063,"55.7041947,13.1896114",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00064,"55.7036381,13.1937272",Lunds Kyrkliga Samf,pr Joachim Wall -Sy,s_ Nov 2012
Lund_00065,"55.7046601,13.1910073",6 Ales Stursa,6 Ales Stursa, Jul 2012
Lund_00066,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00067,"55.7046601,13.1910073","l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017
Lund_00068,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00069,"55.7046601,13.1910073",’«9 Patrick G,’«9 Patrick G, May 2011
Lund_00070,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00071,"55.7046601,13.1910073",@ Saadiyah Darus,21 CRET 1),
Lund_00072,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00073,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00074,"55.7046601,13.1910073",[T J,. Nenad Fatic, Jul 2017
Lund_00075,"55.7046601,13.1910073",. Marion Kaletta,. Marion Kaletta, Oct 2017
Lund_00076,"55.7046601,13.1910073",@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_00077,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00078,"55.7046601,13.1910073",Lundagérd,I\ ) Stana Minincic,
Lund_00079,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00080,"55.7046601,13.1910073",0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
Lund_00081,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00082,"55.7046601,13.1910073",9 Sumeet Ranjan S,ORIV EVRI b,
Lund_00083,"55.7043462,13.1896452",O'Learys,\V View360 Sweder,s_ Oct 2018
Lund_00084,"55.7036994,13.1939977",Lunds Kyrkliga Samf,%;; R R LS,s_ Nov 2012
Lund_00085,"55.7046601,13.1910073",[T 8,a Diana Picus, May 2017
Lund_00086,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00087,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00088,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00089,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00090,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00091,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00092,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00093,"55.7046601,13.1910073",B Babulal Yadav,B Babulal Yadav, Mar 2018
Lund_00094,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00095,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00096,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00097,"55.7046601,13.1910073",e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00098,"55.7046601,13.1910073",;&g peter kurnavka,LRI b,
Lund_00099,"55.7046601,13.1910073",%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00100,"55.7046601,13.1910073",0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
Lund_00101,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00102,"55.7046601,13.1910073",[T G,% aysar Farman, Apr 2018
Lund_00103,"55.7042276,13.189512",O'Learys,\/  View360 Sweder,s_ Oct 2018
Lund_00104,"55.7041445,13.1932547",[T Ko G BT,@ Gustavo Salles,s_ Sep 2017
Lund_00105,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00106,"55.7046601,13.1910073",Lund H,F Kamal Dayob, Mar 2018
Lund_00107,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00108,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00109,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
Lund_00110,"55.7046601,13.1910073",' (&1 EY T,' (&1 EY T, Dec 2016
Lund_00111,"55.7046601,13.1910073",' (&1 EY T,' (&1 EY T, Dec 2016
Lund_00112,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00113,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00114,"55.7046601,13.1910073",@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_00115,"55.7046601,13.1910073",. Marion Kaletta,. Marion Kaletta, Oct 2017
Lund_00116,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00117,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00118,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00119,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
