,field_1,ID,lan_long_x,pic_code,lan,long,a,b,c,d,e,f,g,h,i,j,k,left,top,right,bottom,id_2,index_ID,lan_long_y,place,author,date
0,0,Lund_00001,"55.7046601,13.1910073",AF1QipORzUOzzjAZzMc6UjcL21gmM3v6jY3x4gL6g7BZ,55.70466010000001,13.1910073,Lund_00001,Building,Landmark,Town,Architecture,City,Property,Human settlement,Facade,Mixed-use,Sky,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00001,"55.7046601,13.1910073",' Maja Rehnberg,' Maja Rehnberg, Sep 2017
1,1,Lund_00002,"55.7046601,13.1910073",AF1QipNmJAa0_UzfmN0ApXBLrYVsGhjsKinDxQOAEKNF,55.70466010000001,13.1910073,Lund_00002,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Official residence,Mansion,Courthouse,House,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00002,"55.7046601,13.1910073",Universidad,N Nacho Laguna, Jul 2016
2,2,Lund_00003,"55.7108687,13.181276",AF1QipN1EAGrmd7cCixgk7EniNOEjvTYdMq86L_B0K70,55.710868700000006,13.181276,,,,,,,,,,,,859263.0750757123,-3669528.706338175,859463.0750757124,-3669728.706338175,478,Lund_00003,"55.7108687,13.181276",[ ecke1011,[ ecke1011,s_ Jan 2017
3,3,Lund_00004,"55.7046601,13.1910073",AF1QipPje9dS42dth7KteE4baH7Qc7z3K6AifsLt2jWk,55.70466010000001,13.1910073,Lund_00004,Building,Landmark,Palace,Architecture,Mansion,Official residence,Estate,Presidential palace,Classical architecture,Tourism,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00004,"55.7046601,13.1910073",6 JAE SRR,6 JAE SRR, Jul 2012
4,4,Lund_00005,"55.7046601,13.1910073",AF1QipO090F4ay9dH788zZv310MwCSfEPB5dod1BQKGN,55.70466010000001,13.1910073,Lund_00005,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,Stately home,Tree,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00005,"55.7046601,13.1910073",Botanical Garden #L,@ Hans Jirgen Klai, Sep 2018
5,5,Lund_00006,"55.7046601,13.1910073",AF1QipPIOY_LOYxr8Q4PiSRhzqabGMlEk49fH-Cm1ckH,55.70466010000001,13.1910073,Lund_00006,Garden,Botanical garden,Park,Botany,Lawn,Spring,Plant,Tree,Grass,Landscaping,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00006,"55.7046601,13.1910073",6 FACES TR,6 FACES TR, Jul 2012
6,6,Lund_00007,"55.7046601,13.1910073",AF1QipP9qV7cDIVhOEWN2XsF6BXcDi12r6xBcbSDGM1h,55.70466010000001,13.1910073,Lund_00007,Building,Architecture,Landmark,Town,Transport,City,Mixed-use,Tree,Facade,House,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00007,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
7,7,Lund_00008,"55.7046601,13.1910073",AF1QipO0D6cJBdC4PrdR2xR78vTKJiPORDW_NjRzMkpd,55.70466010000001,13.1910073,Lund_00008,Landmark,Spire,Building,Architecture,Steeple,Church,Place of worship,Parish,Tree,Sky,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00008,"55.7046601,13.1910073",%~ Juliane Vigan?,%~ Juliane Vigan?, Apr 2018
8,8,Lund_00009,"55.7018149,13.1947216",AF1QipNUpyRpK9BfgxOfnJAlq62HuGxHwl10obOZ4MZX,55.7018149,13.1947216,Lund_00009,Building,Awning,Kiosk,,,,,,,,860463.0750757124,-3670128.706338175,860663.0750757124,-3670328.706338175,709,Lund_00009,"55.7018149,13.1947216",Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018
9,9,Lund_00010,"55.7046601,13.1910073",AF1QipPAsqcV58ZDnxYfUtRlGsWjZvNvSE-WExQ1NcAB,55.70466010000001,13.1910073,Lund_00010,Medieval architecture,Architecture,Building,Landmark,Place of worship,Cathedral,Gothic architecture,Church,Facade,Historic site,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00010,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
10,10,Lund_00011,"55.7046601,13.1910073",AF1QipNLiH6kbMpRRvETz94X30Xa9iT0vuYFPAWwUuv_,55.70466010000001,13.1910073,Lund_00011,Building,Estate,Mansion,Landmark,Palace,Property,Architecture,Classical architecture,Stately home,Ch?teau,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00011,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
11,11,Lund_00012,"55.7046601,13.1910073",AF1QipNPnhDxqN-T8BKHoz_MmhGDPo005P_FATx8Jn8,55.70466010000001,13.1910073,Lund_00012,Property,Building,Architecture,House,Town,Estate,Real estate,Home,City,Facade,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00012,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
12,12,Lund_00013,"55.7046601,13.1910073",AF1QipOzib9rB4ySVVEg2NNo1lH9p0l47f7fOLCmCEWh,55.70466010000001,13.1910073,Lund_00013,Building,Landmark,Architecture,Facade,Town,Vehicle,Sky,Car,House,City,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00013,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
13,13,Lund_00014,"55.7046601,13.1910073",AF1QipPcGRaQjfPvYC6FInLde35aXfAdSS19dG8omYc7,55.70466010000001,13.1910073,Lund_00014,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Cathedral,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00014,"55.7046601,13.1910073",%~ Juliane Vigan?,%~ Juliane Vigan?, Apr 2018
14,14,Lund_00015,"55.7046601,13.1910073",AF1QipME0Peuhqgqv1AUJFtta_teeM49HwYt0SOnUm8,55.70466010000001,13.1910073,Lund_00015,Building,Property,House,Architecture,Town,Home,Almshouse,Brick,Roof,Facade,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00015,"55.7046601,13.1910073",? (&1 EY T,? (&1 EY T, Dec 2016
15,15,Lund_00016,"55.7038692,13.2033632",AF1QipNYXlAVLV23qyZTQRvl8oDLiSnyQmwj3tnboc-f,55.70386920000001,13.203363199999998,Lund_00016,Vegetation,Tree,Botany,Garden,Palm tree,Botanical garden,Arecales,Plant,Sunlight,House,860863.0750757123,-3669928.706338175,861063.0750757124,-3670128.706338175,784,Lund_00016,"55.7038692,13.2033632",Botanical Garden,@ Hans Jirgen Klai, Sep 2018
16,16,Lund_00017,"55.7046601,13.1910073",AF1QipOrjWGKJd8ecliSHAaU3wAsNJgu0VMPwDYLFKLR,55.70466010000001,13.1910073,Lund_00017,Tree,Natural landscape,Walkway,Park,Grass,Garden,Botany,Botanical garden,Road,Thoroughfare,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00017,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
17,17,Lund_00018,"55.7046601,13.1910073",AF1QipOOV6Xobg3I7xYUbyMwVjVFm-xLVF9JgT_WCOiw,55.70466010000001,13.1910073,Lund_00018,Landmark,Estate,Building,Mansion,Architecture,Palace,Sky,Stately home,Classical architecture,House,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00018,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
18,18,Lund_00019,"55.7046601,13.1910073",AF1QipMFb_x3ScNacMsAHnZ_xc85WW8JRUrxvSA9mUHo,55.70466010000001,13.1910073,Lund_00019,Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,Estate,Plant,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00019,"55.7046601,13.1910073",@ Mohammad Wat,@ Mohammad Wat, Oct 2017
19,19,Lund_00020,"55.7046601,13.1910073",AF1QipMXtHS7BFJHwtwnZ2jFl1t1pywGC9KSEY7OjAtj,55.70466010000001,13.1910073,Lund_00020,Landmark,Estate,Building,Architecture,Tree,Mansion,Palace,Ch?teau,Stately home,Sky,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00020,"55.7046601,13.1910073",Lund,@ Irena Zhang, Aug 2014
20,20,Lund_00021,"55.7046601,13.1910073",AF1QipMCBMGAIydewJMIx22def3FYFPr0oydblFu9ac1,55.70466010000001,13.1910073,Lund_00021,Building,Landmark,Town,Architecture,Sky,City,Urban area,House,Neighbourhood,Facade,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00021,"55.7046601,13.1910073",[T 3,a Sylvia Beatriz, Dec 2017
21,21,Lund_00022,"55.7046601,13.1910073",AF1QipMmrVp9yIOxvGCdl94ljalvQ5fTq4UjQLZa5-I,55.70466010000001,13.1910073,Lund_00022,Statue,Sculpture,Monument,Memorial,Landmark,Classical sculpture,Grass,Art,Tree,Stone carving,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00022,"55.7046601,13.1910073",@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
22,22,Lund_00023,"55.7042309,13.1895735",AF1QipM3ptr9f-oPbeayYGaH74Ir7L-sNDDW_qoR8rp7,55.7042309,13.189573499999998,,,,,,,,,,,,860063.0750757123,-3669928.706338175,860263.0750757124,-3670128.706338175,632,Lund_00023,"55.7042309,13.1895735",O'Learys,\/ View360 Sweder,s_ Oct 2018
