month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1,0.883941536,0.961504018,0.957693406,0.924126797,0.947093797,0.954386957,0.964950542,0.958211782,0.937646958,0.857722435,0.915573587
Feb,0.883941536,1,0.889590243,0.933879653,0.918440967,0.927512868,0.921856059,0.912586915,0.909023628,0.927005045,0.860939639,0.82064932
Mar,0.961504018,0.889590243,1,0.964929187,0.91850892,0.959447485,0.963264733,0.976437873,0.974385831,0.948056242,0.851235795,0.882435405
Apr,0.957693406,0.933879653,0.964929187,1,0.966944524,0.983238952,0.982214299,0.983680092,0.982241287,0.974555889,0.896670653,0.902023729
May,0.924126797,0.918440967,0.91850892,0.966944524,1,0.965874403,0.97075395,0.957752616,0.953589999,0.965776666,0.897381342,0.881218004
Jun,0.947093797,0.927512868,0.959447485,0.983238952,0.965874403,1,0.990665302,0.987534153,0.98666438,0.976502077,0.901661913,0.867644107
Jul,0.954386957,0.921856059,0.963264733,0.982214299,0.97075395,0.990665302,1,0.992173624,0.987940261,0.978619783,0.888858116,0.88394506
Aug,0.964950542,0.912586915,0.976437873,0.983680092,0.957752616,0.987534153,0.992173624,1,0.994221752,0.973846349,0.880623821,0.889656508
Sep,0.958211782,0.909023628,0.974385831,0.982241287,0.953589999,0.98666438,0.987940261,0.994221752,1,0.973505921,0.881973077,0.87893129
Oct,0.937646958,0.927005045,0.948056242,0.974555889,0.965776666,0.976502077,0.978619783,0.973846349,0.973505921,1,0.905313415,0.891825344
Nov,0.857722435,0.860939639,0.851235795,0.896670653,0.897381342,0.901661913,0.888858116,0.880623821,0.881973077,0.905313415,1,0.808805209
Dec,0.915573587,0.82064932,0.882435405,0.902023729,0.881218004,0.867644107,0.88394506,0.889656508,0.87893129,0.891825344,0.808805209,1
